GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	P57764	GSDMD	enables	GO:0001786	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1916396|PANTHER:PTN000419132	9606	GO_Central		20170601
UniProtKB	P57764	GSDMD	enables	GO:0005546	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1916396|PANTHER:PTN000419132	9606	GO_Central		20170601
UniProtKB	P57764	GSDMD	part_of	GO:0072559	C	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1916396|PANTHER:PTN000419163	9606	GO_Central		20170601
UniProtKB	P57764	GSDMD	involved_in	GO:0070269	P	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1916396|MGI:MGI:3044668|PANTHER:PTN000419132|UniProtKB:P57764|UniProtKB:Q8TAX9	9606	GO_Central		20201205
UniProtKB	P57764	GSDMD	involved_in	GO:0042742	P	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1916396|PANTHER:PTN000419132	9606	GO_Central		20170601
UniProtKB	P57764	GSDMD	enables	GO:0070273	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1916396|PANTHER:PTN000419132	9606	GO_Central		20170601
UniProtKB	P57764	GSDMD	enables	GO:0001786	F	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	located_in	GO:0005886	C	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	part_of	GO:0072559	C	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160128
UniProtKB	P57764	GSDMD	involved_in	GO:0046931	P	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	involved_in	GO:0050829	P	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	involved_in	GO:0050830	P	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	involved_in	GO:0051260	P	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	located_in	GO:0005829	C	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	located_in	GO:0005615	C	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	involved_in	GO:0070269	P	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160128
UniProtKB	P57764	GSDMD	involved_in	GO:0032731	P	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160128
UniProtKB	P57764	GSDMD	enables	GO:1901612	F	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	enables	GO:0070300	F	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9D8T2	9606	UniProt		20160718
UniProtKB	P57764	GSDMD	enables	GO:0008289	F	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0446	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	involved_in	GO:0045087	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0399	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	located_in	GO:0005886	C	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1003	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	part_of	GO:0061702	C	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1271	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	located_in	GO:0005737	C	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0963	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	located_in	GO:0005576	C	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0964	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	involved_in	GO:0012501	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1210	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	located_in	GO:0016020	C	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	involved_in	GO:0002376	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0391	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	involved_in	GO:0006954	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0395	9606	UniProt		20221109
UniProtKB	P57764	GSDMD	located_in	GO:0035580	C	ECO:0000304	TAS	Reactome:R-HSA-6798749		9606	Reactome		20160716
UniProtKB	P57764	GSDMD	located_in	GO:1904813	C	ECO:0000304	TAS	Reactome:R-HSA-6800434		9606	Reactome		20160716
UniProtKB	P57764	GSDMD	located_in	GO:0005829	C	ECO:0000304	TAS	Reactome:R-HSA-9647619		9606	Reactome		20190603
UniProtKB	P57764	GSDMD	located_in	GO:0005829	C	ECO:0000304	TAS	Reactome:R-HSA-9647631		9606	Reactome		20190603
UniProtKB	P57764	GSDMD	located_in	GO:0005829	C	ECO:0000304	TAS	Reactome:R-HSA-9647643		9606	Reactome		20190603
